scfid	length	chrlabel	order	md5	mediangc	illum	ont	pb
BASDUscf137	59636	other	136	3458422c66a0470b3c54e7898eac3e35	34.24	28.15295	60.0627	17.7856
BASDUscf138	59422	other	137	44a14ac99c6aa8fdbc26cd357b7f00f5	40.01	185.8985	522.815	53.757549999999995
BASDUscf139	58948	other	138	37c3a8e4beb2a15721f226b32b774882	39.93	62.25275	55.96395	4.6302
BASDUscf140	57281	other	139	e8cee8b56453d7559826fdf80f3e26d5	39.98	35.130700000000004	59.5979	2.453
BASDUscf141	57245	other	140	57c06dece5cb775f7849916aa90ce52b	57.94	11.16445	20.8011	5.53465
BASDUscf142	56041	chrY	141	48583c92693b722bcd9c9b8805ce862d	48.19	66.38275	293.44	11.4813
BASDUscf143	56000	other	142	35b91517611688b8e92fc1a76a0e2d76	56.41	30.60255	62.7439	16.609299999999998
BASDUscf144	56000	other	143	18b90a2d4363c7ed9735569fd6879baf	53.02	9.9012	38.80415	7.304449999999999
BASDUscf145	55781	censat	144	6518e74e0b55819ee27861baf267938f	43.66	26.27375	43.30605	12.13955
BASDUscf146	55000	other	145	e9237783e63cff1a9885afda35d23b4b	46.58	21.02285	42.13635	4.8453
BASDUscf147	53695	other	146	de9f1207513d4915e180e389220cec68	32.9	19.6399	19.0648	5.13485
BASDUscf148	52982	other	147	f6702aeab38b916e2a856b9eb38dc2ee	57.12	11.31845	21.61245	5.9656
BASDUscf149	52513	other	148	42208227b74e2ab687d0d16c2857b097	49.26	30.9097	27.781149999999997	9.15
BASDUscf150	51000	other	149	adb5ad42a32c8f37fba246f357b6cc9e	35.22	19.88775	17.614449999999998	4.59105
BASDUscf151	51000	other	150	b38c7192ce85c851d0eebb08e86481fc	49.12	33.0536	44.5736	16.421
BASDUscf152	50746	rDNA	151	744e2249332b1b2eb50d61aef614f5ce	65.37	86.62389999999999	90.54635	39.1795
BASDUscf153	50492	other	152	96669b85b81193584c3d368f7d17ca99	48.26	24.5601	34.18245	2.76935
BASDUscf154	50000	other	153	cfb2f94d11dbe4fd0ebf55dd882d5e91	35.74	19.033	26.4284	7.9119
BASDUscf155	48800	other	154	590c4c4996e4b65c6699e071292f34fa	58.18	11.6597	25.5903	9.6574
BASDUscf156	39686	other	155	274ffbb81afc9e3869f70b9929a9e9ff	43.25	26.89145	18.10605	5.3285
BASDUscf157	37000	other	156	4023ac5deaf1b7846029ddc5e654f82f	39.9	174.1935	615.0635	40.59945
BASDUscf158	35512	other	157	17eca3168afc98589637cc48b51b73d2	47.23	102.6955	338.3055	27.56885
BASDUscf160	34215	other	158	bcefa4ba885c74366b1b5834ab0ff7b1	39.04	37.4006	18.97715	12.8643
BASDUscf161	34164	censat	159	c8c612f1f8111f2113c8e25acaf15b7a	42.44	23.82085	21.0856	5.0397
BASDUscf163	29480	other	160	53074e2c14671e30cd73acd56aef2da3	47.245000000000005	69.1052	133.583	18.2937
BASDUscf164	26458	other	161	55e80007f34a4633f46a857e4c01cfb5	48	11.041	9.4251	3.6475
BASDUscf165	25020	rDNA	162	7c3350ae2893efcedac23c862b3b0baa	66.51	78.3536	61.4357	34.473
BASDUscf166	21000	other	163	2bdf7d39d16f068d7f26e755796b6e18	53.915	53.7301	24.2478	9.7984000000000009
BASDUscf167	20679	rDNA	164	a40ad64d0be213840214cf2abb6da7cf	64.88	88.205	94.5946	31.4968
BASDUscf168	19811	rDNA	165	7816c25b7a560f95b7a4d4da764b5993	58.77	85.8245	56.02925	9.09255
BASDUscf169	19148	rDNA	166	1601765c1c9da84947418859c329265a	65.54	101.78265	143.684	18.8214
BASDUscf170	18326	other	167	3330a81cf10922b9e81eda1b4936d8b9	39.98	198.9235	366.575	19.26795
BASDUscfmt	17506	mtGenome	168	426f9b74adf73ff9da2838be7178770a	42.15	16078.05	32745.5	2090.44
BASDUscf172	17258	other	169	fb6eb4ab8fe83bd855977a2b3b1284e0	42.3	84.56835	46.77555	18.671
BASDUscf173	16576	other	170	e13fb17dc0f65bbaaa2265bda1d43e8a	38.21	180.066	252.7445	9.7647
BASDUscf174	12047	other	171	9589cdf5749b8e6d4ba9555be6bd4d08	48.49	81.8	57.11745	5.84205
